"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22165","Price format validation","chromium","2026-04-02","passed","2026-04-02","Menu Module (POM)","menu.spec.js","",""
"","12931","Select UPI","firefox","2026-04-02","passed","2026-04-02","Payment Module (POM)","payment.spec.js","",""
"","13762","Order Summary Loads","webkit","2026-04-02","passed","2026-04-02","Order Summary Module (POM)","orderSummary.spec.js","",""
"","1420","Verify Menu API Response Time","chromium","2026-04-02","passed","2026-04-02","","api.spec.js","",""
"","9935","Select Credit Card","chromium","2026-04-02","passed","2026-04-02","Payment Module (POM)","payment.spec.js","",""
"","9420","Verify Quantity Format","webkit","2026-04-02","passed","2026-04-02","Order History Module (POM)","OrderHistory.spec.js","",""
"","6218","Verify Home link active state","webkit","2026-04-02","passed","2026-04-02","Home Page (POM)","Home.spec.js","",""
"","12775","Verify Cart Navigation","webkit","2026-04-02","passed","2026-04-02","Home Page (POM)","Home.spec.js","",""
"","5914","has title","webkit","2026-04-02","passed","2026-04-02","","example.spec.js","",""
"","10861","Place Order Button Visible","chromium","2026-04-02","failed","2026-04-02","Order Summary Module (POM)","orderSummary.spec.js","",""
"","5562","Description contains text","webkit","2026-04-02","passed","2026-04-02","Menu Module (POM)","menu.spec.js","",""
"","6819","Footer After Scroll","firefox","2026-04-02","passed","2026-04-02","Order Summary Module (POM)","orderSummary.spec.js","",""
"","4148","TC24 - Delete item from cart","webkit","2026-04-02","passed","2026-04-02","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","5447","Truck Icon Visible","chromium","2026-04-02","passed","2026-04-02","Order Summary Module (POM)","orderSummary.spec.js","",""
"","3080","TC07 - Empty email field","firefox","2026-04-02","passed","2026-04-02","","registration.spec.js","",""
"","4494","Menu description visible","chromium","2026-04-02","passed","2026-04-02","Menu Module (POM)","menu.spec.js","",""
"","8944","TC06 - Duplicate email shows error popup","webkit","2026-04-02","passed","2026-04-02","","registration.spec.js","",""
"","6615","Notification Region Visible","chromium","2026-04-02","passed","2026-04-02","Order Summary Module (POM)","orderSummary.spec.js","",""
"","9871","Verify Order History Page Loads","webkit","2026-04-02","passed","2026-04-02","Order History Module (POM)","OrderHistory.spec.js","",""
"","580","TC01 - Get cart without token","firefox","2026-04-02","passed","2026-04-02","","api.spec.js","",""
