"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","181","TC26 - Place order","webkit","2026-04-05","passed","2026-04-05","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","559","TC6 - Get cart data","firefox","2026-04-05","passed","2026-04-05","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","317","TC29 - Place order","firefox","2026-04-05","passed","2026-04-05","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","1919","Subtotal Section","chromium","2026-04-05","passed","2026-04-05","Order Summary Module (POM)","orderSummary.spec.js","",""
"","1118","Price changes on increase","chromium","2026-04-05","failed","2026-04-05","Cart Module (POM)","cart.spec.js","",""
"","1859","Notification Position","chromium","2026-04-05","passed","2026-04-05","Order Summary Module (POM)","orderSummary.spec.js","",""
"","1991","Subtotal Price Visible","chromium","2026-04-05","passed","2026-04-05","Order Summary Module (POM)","orderSummary.spec.js","",""
"","420","has title","firefox","2026-04-05","passed","2026-04-05","","example.spec.js","",""
"","897","Invalid Email & Password","firefox","2026-04-05","passed","2026-04-05","","login.spec.js","",""
"","90","Verify Menu API Response Time","chromium","2026-04-05","passed","2026-04-05","","api.spec.js","",""
"","795","get started link","firefox","2026-04-05","passed","2026-04-05","","example.spec.js","",""
"","704","Verify Navigation Links Count","firefox","2026-04-05","passed","2026-04-05","Home Page (POM)","Home.spec.js","",""
"","1279","Invalid Password","webkit","2026-04-05","passed","2026-04-05","","login.spec.js","",""
"","614","Verify Login Page Loads","webkit","2026-04-05","passed","2026-04-05","","login.spec.js","",""
"","32","TC20 - Update cart quantity","chromium","2026-04-05","passed","2026-04-05","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","183","TC21 - Delete item from cart","firefox","2026-04-05","passed","2026-04-05","Database Testing using Mocking + Parameterization","database.spec.js","",""
"","8199","Place Order Button Enabled","firefox","2026-04-05","failed","2026-04-05","Order Summary Module (POM)","orderSummary.spec.js","",""
"","1264","Verify Order History Page Loads","webkit","2026-04-05","passed","2026-04-05","Order History Module (POM)","OrderHistory.spec.js","",""
